id,classificacao_da_ocorrencia,dt_da_ocorrencia,municipio,uf,regiao,fabricante,modelo
41386,Incidente,2023-11-27,FOZ DO IGUAÇU,PR,Sul,BOEING COMPANY,737-8EH
41388,Incidente,2023-12-12,FOZ DO IGUAÇU ,PR,Sul,AIRBUS S.A.S.,A320-214
41390,Incidente,2023-11-24,CAMPINAS ,SP,Sudeste,AIRBUS S.A.S.,A330-941
41566,Incidente,2023-11-28,CAMPINAS,SP,Sudeste,EMBRAER,ERJ 190-400
41568,Incidente,2023-11-23,CAMPINAS,SP,Sudeste,AIRBUS S.A.S.,A320-251N
41651,Incidente,2023-12-23,CAMPINAS,SP,Sudeste,AIRBUS S.A.S.,A320-251N
27971,Incidente Grave,2021-04-28,FERNANDÓPOLIS,SP,Sudeste,CESSNA AIRCRAFT,150L
27969,Incidente,2021-03-17,PARÁ DE MINAS,PA,Norte,CESSNA AIRCRAFT,152
27970,Incidente,2021-04-29,RIO DE JANEIRO,RJ,Sudeste,AIRBUS S.A.S.,A320-253N
28343,Incidente,2021-05-29,PARINTINS,AM,Norte,EUROCOPTER FRANCE,AS 355 F2
28344,Acidente,2021-05-31,MORADA NOVA DE MINAS,MG,Sudeste,EMBRAER,EMB-810D
28344,Acidente,2021-05-31,MORADA NOVA DE MINAS,MG,Sudeste,EMBRAER,EMB-810D
31108,Incidente,2021-12-26,CUIABÁ,MT,Centro-Oeste,EMBRAER,ERJ 190-200 LR
33827,Acidente,2022-08-28,RIBAS DO RIO PARDO,MS,Centro-Oeste,CESSNA AIRCRAFT,A188B
34207,Incidente,2022-09-22,TERESINA,PI,Nordeste,BEECH AIRCRAFT,C90A
34208,Incidente,2022-09-25,BRAGANÇA PAULISTA,SP,Sudeste,CESSNA AIRCRAFT,152
34947,Acidente,2022-11-11,JUAZEIRO DO NORTE,CE,Nordeste,EMBRAER,EMB-820C NAVAJO
35051,Incidente Grave,2022-11-17,FORQUILHINHA,SC,Sul,EMBRAER,EMB-121A
35228,Acidente,2022-11-29,GAÚCHA DO NORTE ,MT,Centro-Oeste,CESSNA AIRCRAFT,A188B
